"Id","Label"
"125943744","tosin723"
"16429861","clifsoulo"
"195438871","uzyone"
"88441571","safeworld4women"
"41077287","bankyw"
"212494307","alkayy"
"68257432","frankices"
"61831375","ruggedybaba"
"51816066","modernghanaweb"
"395199353","nosaassociates"
"150623003","makingcheddah"
"23377569","ogundamisi"
"71463789","ayoanimashaun"
"30950587","slimtmusic"
"383726233","eddybazzo"
"217046870","favstar_pop"
"55915207","9jaradical"
"23137747","gbengasesan"
"18378475","ebuka"
"18921341","dayhor"
"45224548","eldeethedon"
"23137747","gbengasesan"
"35187957","tundetokun"
"453912228","peaceprotests"
"80791048","forumeditor"
"36311121","echecrates"
"30950587","slimtmusic"
"135126837","rccgworldwide"
"73335212","elevated_mindz"
"85359736","opsy_afc"
"67684111","oforokeke"
"166224303","maji9ce"
"127948226","jesse_boxx"
"123545907","kwamiadadevoh"
"77998852","tosinadeda"
"31557157","ebukar"
"257546302","halimabubabakar"
"82349533","iamshenray"
"16396046","deoluakinyemi"
"79206101","paperboey"
"32660559","wizkidayo"
"223759518","loladesue"
"14215523","brusselmans"
"203017516","itsmz_sally"
"130826667","hugoverified"
"34288864","rosanwo"
"257276298","ev0_4president"
"794808","globalvoices"
"57145236","deehollar"
"9411482","cnnireport"
"79237207","tomkadelik"
"61831375","ruggedybaba"
"61831375","ruggedybaba"
"820694","blogdiva"
"27147244","iamjaybee"
"298317087","tessy_tohbadt"
"87011873","bambambisel"
"175757877","atomquietmoney"
"147119084","lanre_v"
"230119308","tkbills"
"47323938","eggheader"
"84303435","biolajay"
"18378475","ebuka"
"23584333","toluogunlesi"
"23137747","gbengasesan"
"34288864","rosanwo"
"73526492","sesquioxide"
"98714165","sehyeedaht"
"86685798","jigsawent"
"133761060","creamyma"
"49957446","heymode"
"45224548","eldeethedon"
"61831375","ruggedybaba"
"32660559","wizkidayo"
"366803468","adeadetunji"
"23981684","deejay3k"
"258720892","tytbonesceo"
"21303464","alykhansatchu"
"216313155","olawalekorede"
"452828182","amb_fatimam"
"77477257","gbemi_george"
"115683157","tomi_ola"
"101386279","lereboy"
"61831375","ruggedybaba"
"61831375","ruggedybaba"
"1658687670","shar_rone"
"23377569","ogundamisi"
"191284758","taynement"
"115628224","omojuwa"
"14939981","questlove"
"26815053","sweethalos"
"246526116","oxbourn"
"7","elvisfreshlee"
"63797517","lilbature"
"155537412","teetooraj"
"66816677","ykwildchild"
"9737202","emeka_okafor"
"158067063","ginafatale"
"328667119","anabagail"
"27528339","lindaikeji"
"217046870","favstar_pop"
"107908234","rexxuberfresh"
"135448028","jamesnduold"
"48677533","kparoskparos"
"30950587","slimtmusic"
"30950587","slimtmusic"
"177202984","sleekyvicky"
"115628224","omojuwa"
"51112806","segunmor"
"34288864","rosanwo"
"16448277","radiopalmwine"
"107254970","roteame"
"59085798","ifybase"
"61831375","ruggedybaba"
"191962314","bunnymitchie"
"177896897","mynamaz"
"63471715","tolu_b"
"138111432","delvve"
"74408066","slender8"
"60888330","baddessst"
"60366604","mofenzo"
"16402135","babsburton"
"6718782","blacklooks"
