"text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted"
"Met business leaders today in Myanmar ahead of summit and impressed by their focus on inclusive and sustainable growth for all @davos #wef",FALSE,NA,2013-05-29 14:51:52,FALSE,NA,"339755981170954241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FPCChampagne",0,FALSE
"#Report: Global #Tourism #Competitiveness #Ranking - World Economic Forum &amp; the "" #Group #Croissance"". #WEF http://t.co/sczVPLJGVq",FALSE,NA,2013-05-29 14:45:24,FALSE,NA,"339754353999089664",NA,"<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>","phcjam",0,FALSE
"From the Jordanian night during the #WEF #wefmena in #deadsea #Jordan. #Jo http://t.co/BDqDZgDEuq",FALSE,NA,2013-05-29 14:34:23,FALSE,NA,"339751577680244737",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Ali_Obeidat",0,FALSE
"RT @AmeerahAltaweeL: سعدت اليوم بالمشاركة في منتدى الإقتصاد العالمي لمناقشة وضع المرأة العربيةالحالي في قطاع الأعمال واقتراح الحلول
#wef ht…",FALSE,NA,2013-05-29 14:32:04,FALSE,NA,"339750998039998465",NA,"<a href=""http://retweet.remal.com"" rel=""nofollow"">Retweetter service#58</a>","emranosdf",96,FALSE
"The Arab World #Competitiveness Report 2013:how the region can build more effective economies http://t.co/YOZDomXjFG #MENA #development #wef",FALSE,NA,2013-05-29 14:18:22,FALSE,NA,"339747549407739904",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RawanDaas",0,FALSE
"RT @javiersolana: “@ianbremmer: syria’s neighbors, by length of border:
turkey 822km
iraq 605km
jordan 375km
lebanon 375km
israel 76km
#wef…",FALSE,NA,2013-05-29 14:07:01,FALSE,NA,"339744694282104836",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","TheBrainsNet",26,FALSE
"Reviewing the World Economic Forum report #WEF http://t.co/AHvXsyWsGf",FALSE,NA,2013-05-29 14:04:55,FALSE,NA,"339744163509727232",NA,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","UnboundID",0,FALSE
"RT @Khalidalkhudair: My picture with @amremoussa former #egypt presidential candidate at the world economic forum
#wef… http://t.co/dz5Ejsl…",FALSE,NA,2013-05-29 13:50:41,FALSE,NA,"339740583121784833",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","AlrasheedMJ",1,FALSE
"“The largest fortune in the world is talent.When you have a talent,you have an obligation to deliver” Carlos García Moreno Elizondo CFO #wef",FALSE,NA,2013-05-29 13:39:19,FALSE,NA,"339737720144412672",NA,"web","iknowkellaway",0,FALSE
"“A leader leads best when people hardly know he or she is leading. When people say: we did it ourselves”  Edwin Bernbaum  #wef #lima",FALSE,NA,2013-05-29 13:37:44,FALSE,NA,"339737324487315456",NA,"web","iknowkellaway",0,FALSE
"RT @AmeerahAltaweeL: I had an amazing conversation with the Global Shapers from the #wef , the future looks so bright with them http://t.co…",FALSE,NA,2013-05-29 13:31:59,FALSE,NA,"339735875212685313",NA,"<a href=""http://retweet.remal.com"" rel=""nofollow"">Retweetter service#65</a>","majeadqaws",66,FALSE
"RT @AmeerahAltaweeL: I had an amazing conversation with the Global Shapers from the #wef , the future looks so bright with them http://t.co…",FALSE,NA,2013-05-29 13:31:59,FALSE,NA,"339735874533212164",NA,"<a href=""http://retweet.remal.com"" rel=""nofollow"">Retweetter service#45</a>","moneearhoshaan",66,FALSE
"RT @DarellHammond: “@schwabfound: Next week 21 social entrepreneurs at the #wef oin #myanmar  http://t.co/vcC4156PdD"" Looking forward to pa…",FALSE,NA,2013-05-29 13:31:57,FALSE,NA,"339735869193863168",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","schwabfound",1,FALSE
"Opinion: World Economic Forum – where is the future? (By Yara al Wazir) http://t.co/bxtME07AWk #alarabiya #WEF #Jordan @YaraWazir",FALSE,NA,2013-05-29 13:27:22,FALSE,NA,"339734716162920448",NA,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","AlArabiya_Urdu",0,FALSE
"RT @PresidentPeres: PHOTO: President Peres with PA's President Mahmoud Abbas &amp; U.S Secretary of State John Kerry #SecKerry at #WEF http://t…",FALSE,NA,2013-05-29 13:07:55,FALSE,NA,"339729820525150208",NA,"web","1patty17",71,FALSE
"#WEF: if only they did as much as they said - http://t.co/tPI7NO6pQF #News",FALSE,NA,2013-05-29 13:00:33,FALSE,NA,"339727965971701760",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","AlBawabaEnglish",0,FALSE
"My picture with @amremoussa former #egypt presidential candidate at the world economic forum
#wef… http://t.co/dz5EjsloyQ",FALSE,NA,2013-05-29 12:56:21,FALSE,NA,"339726910701588481",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Khalidalkhudair",1,FALSE
"The #WEF workshop will be based on the #UN's guidances on #HumanRights &amp; Business, says Navi Pillay. Thanks Forum for facilitating.",FALSE,NA,2013-05-29 12:41:41,FALSE,NA,"339723216341856258",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ChristophSprung",0,FALSE
"@UN's #HumanRights Chief Navi Pillay opening the ICT for HR Workshop at the #WEF now @UNrightswire http://t.co/Bi2TNqvxIw",FALSE,"UN",2013-05-29 12:37:57,FALSE,NA,"339722278499672064","14159148","<a href=""http://www.apple.com"" rel=""nofollow"">Photos on iOS</a>","ChristophSprung",0,FALSE
